X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC,WINT_PLOW,WINT_MAINT,WINT_ROUTE,WINT_LOS,WINT_MAT,WINT_COMM,WINT_ADDBY,WINT_ADDDATE,WINT_MODBY,WINT_MODDATE
-63.60136229,44.64229345,74780,AP39,BEECH ST,NORWOOD ST,PEPPERELL ST,1,NTR,,INS,,S,GRASS,Y,N,2019/10/10 17:39:29+00,2020/11/26 02:17:55+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.59230781,44.65809476,74781,AP19,GOTTINGEN ST,BLACK ST,NORTH ST,1,HR3,,INS,,SE,CONCRETE,N,N,2019/10/09 17:15:49+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ6,RB,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.59408423,44.65581822,74782,AP24,AGRICOLA ST,NORTH ST,MCCULLY ST,1,HR3,,INS,,NW,GRASS,Y,N,2019/10/09 17:37:38+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ6,RB,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.59560077,44.6350084,74783,AP45,OXFORD ST,COBURG RD,SOUTH ST,2,NTR,,INS,,S,GRASS,Y,N,2019/10/10 21:13:08+00,2020/11/26 02:17:55+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 2,,,,
-63.56688938,44.66543013,74784,AP61,PORTLAND ST,KING ST,PRINCE ST,1,HR1,,INS,,SW,CONCRETE,Y,N,2019/10/16 19:20:23+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R1,PRI2,,ACCESSIBLE PARKING - HR1 - SPOT(S) = 1,,,,
-63.56552701,44.66773515,74785,AP57,QUEEN ST,DUNDAS ST,VICTORIA RD,1,NTR,,INS,,NE,CONCRETE,Y,N,2019/10/16 19:20:23+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R1,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.57528971,44.6482002,74786,AP73,ARGYLE ST,DUKE ST,CARMICHAEL ST,1,HR3,,INS,,S,CONCRETE,N,N,2019/10/16 20:44:53+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.57203124,44.64334359,74788,AP226,BARRINGTON ST,BISHOP ST,SPRING GARDEN RD,1,NTR,,INS,,N,CONCRETE,N,N,2020/01/27 19:24:59+00,2020/11/26 02:17:58+00,,,,Y,HRM1,R2,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.57212182,44.64353054,74789,AP227,BARRINGTON ST,BISHOP ST,SPRING GARDEN RD,1,HR3,,INS,,N,CONCRETE,N,N,2020/01/27 19:28:53+00,2020/11/26 02:17:58+00,2020/01/27 03:59:59+00,,IN,Y,HRM1,R2,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.57594747,44.64905662,74790,AP101,DUKE ST,ARGYLE ST,ALBEMARLE ST,1,MIN30,,INS,,W,CONCRETE,N,N,2019/10/18 15:30:47+00,2020/11/26 02:17:58+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,ACCESSIBLE PARKING - MIN30 - SPOT(S) = 1,,,,
-63.57843974,44.64405165,74791,AP247,DRESDEN ROW,ARTILLERY PL,ANNANDALE ST,1,HR3,,INS,,N,CONCRETE,N,Y,2020/12/15 17:26:37+00,2021/02/10 19:55:09+00,2020/12/15 03:59:59+00,Traffic Services,IN,Y,HRM1,R4,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.57456103,44.6406959,74792,AP248,QUEEN ST,SOUTH ST,MORRIS ST,1,HR3,,INS,,N,CONCRETE,N,N,2020/12/18 23:03:14+00,2020/12/18 23:12:46+00,2020/12/18 03:59:59+00,Traffic Services,IN,Y,HRM1,R4,PRI2,,ACCESSIBLE PARKING - HR1 - SPOT(S) = 1,,,,
-63.5820173,44.65118384,74793,AP255,GOTTINGEN ST,COGSWELL ST,PORTLAND PL,1,HR3,,INS,,NW,CONCRETE,N,N,2021/02/25 23:37:44+00,2021/02/25 23:41:22+00,2021/02/25 03:59:59+00,Traffic Services,IN,,,,,,,,,,
-63.59205391,44.65592378,74794,AP260,MAYNARD ST,CHARLES ST,NORTH ST,1,NTR,,INS,,NW,CONCRETE,N,N,2021/04/01 18:28:30+00,2021/04/01 18:29:25+00,,,,,,,,,,,,,
-63.59411529,44.65572981,74795,AP259,AGRICOLA ST,MCCULLY ST,NORTH ST,1,HR2,,INS,,SE,CONGRAS,N,N,2021/04/01 18:03:17+00,2021/04/01 18:04:43+00,,,,,,,,,,,,,
-63.59238979,44.65710842,74796,AP261,NORTHWOOD TERR,BLACK ST,NORTH ST,3,HR3,,INS,,SE,CONCRETE,N,N,2021/04/01 20:11:32+00,2021/04/01 20:14:34+00,,,,,,,,,,,,,
